Unnamed: 0,actions,states,trial,ts
6,1,3,27,15
7,1,3,27,16
8,1,3,27,17
9,1,3,27,18
10,1,3,27,19
11,1,3,27,20
12,1,3,27,21
13,0,3,27,22
2,2,2,27,23
14,1,3,27,24
15,1,3,27,25
16,1,3,27,26
23,0,8,28,0
24,1,8,28,1
25,0,8,28,2
22,0,7,28,3
21,0,6,28,4
20,0,5,28,5
17,0,4,28,6
2,1,3,28,7
3,1,3,28,8
4,1,3,28,9
5,1,3,28,10
6,0,3,28,11
0,1,2,28,12
1,2,2,28,13
7,1,3,28,14
8,1,3,28,15
9,1,3,28,16
10,2,3,28,17
18,0,4,28,18
11,2,3,28,19
19,0,4,28,20
12,1,3,28,21
13,1,3,28,22
14,1,3,28,23
15,1,3,28,24
16,1,3,28,25
22,0,8,29,0
23,0,8,29,1
21,0,7,29,2
20,0,6,29,3
19,0,5,29,4
17,0,4,29,5
2,1,3,29,6
3,1,3,29,7
4,2,3,29,8
18,0,4,29,9
5,1,3,29,10
6,0,3,29,11
0,2,2,29,12
7,1,3,29,13
8,1,3,29,14
9,1,3,29,15
10,1,3,29,16
11,0,3,29,17
1,2,2,29,18
12,1,3,29,19
13,1,3,29,20
14,1,3,29,21
15,1,3,29,22
16,1,3,29,23
23,0,8,30,0
24,1,8,30,1
25,1,8,30,2
26,1,8,30,3
27,1,8,30,4
28,0,8,30,5
22,0,7,30,6
21,0,6,30,7
20,0,5,30,8
18,0,4,30,9
3,1,3,30,10
4,1,3,30,11
5,1,3,30,12
6,1,3,30,13
7,1,3,30,14
8,1,3,30,15
9,1,3,30,16
10,0,3,30,17
0,1,2,30,18
1,2,2,30,19
11,2,3,30,20
19,0,4,30,21
12,1,3,30,22
13,1,3,30,23
14,0,3,30,24
2,2,2,30,25
15,1,3,30,26
16,1,3,30,27
17,1,3,30,33
25,0,8,31,0
26,1,8,31,1
27,0,8,31,2
22,2,7,31,3
28,0,8,31,4
23,0,7,31,5
20,2,6,31,6
24,0,7,31,7
21,0,6,31,8
18,0,5,31,9
14,0,4,31,10
0,1,3,31,11
1,2,3,31,12
15,0,4,31,13
2,1,3,31,14
3,2,3,31,15
16,2,4,31,16
19,0,5,31,17
17,0,4,31,18
4,1,3,31,19
5,1,3,31,20
6,1,3,31,21
7,1,3,31,22
8,1,3,31,23
9,1,3,31,24
10,1,3,31,25
11,1,3,31,26
12,1,3,31,27
13,1,3,31,28
22,0,8,32,0
23,0,8,32,1
21,0,7,32,2
20,0,6,32,3
19,0,5,32,4
18,0,4,32,5
4,1,3,32,6
5,1,3,32,7
6,1,3,32,8
7,0,3,32,9
1,0,2,32,10
0,2,1,32,11
2,2,2,32,12
8,1,3,32,13
9,1,3,32,14
10,1,3,32,15
11,1,3,32,16
12,1,3,32,17
13,1,3,32,18
14,1,3,32,19
15,0,3,32,20
3,2,2,32,21
16,1,3,32,22
17,1,3,32,23
26,0,8,33,0
27,1,8,33,1
28,1,8,33,2
29,2,8,33,3
31,2,9,33,4
34,0,10,33,5
32,1,9,33,6
33,0,9,33,7
30,0,8,33,8
24,0,7,33,9
20,0,6,33,10
16,2,5,33,11
21,2,6,33,12
25,0,7,33,13
22,0,6,33,14
17,2,5,33,15
23,0,6,33,16
18,1,5,33,17
19,0,5,33,18
15,0,4,33,19
2,1,3,33,20
3,1,3,33,21
4,1,3,33,22
5,1,3,33,23
6,1,3,33,24
7,1,3,33,25
8,1,3,33,26
9,1,3,33,27
10,1,3,33,28
11,1,3,33,29
12,1,3,33,29
13,0,3,33,30
0,1,2,33,31
1,2,2,33,32
14,1,3,33,33
23,0,8,34,0
24,0,8,34,1
22,0,7,34,2
21,0,6,34,3
20,0,5,34,4
17,0,4,34,5
2,1,3,34,6
3,1,3,34,7
4,2,3,34,8
18,0,4,34,9
5,1,3,34,10
6,2,3,34,11
19,0,4,34,12
7,1,3,34,13
8,1,3,34,14
9,1,3,34,15
10,1,3,34,16
11,1,3,34,17
12,1,3,34,18
13,1,3,34,19
14,0,3,34,20
0,1,2,34,21
1,2,2,34,22
15,1,3,34,23
16,1,3,34,24
27,0,8,35,0
28,0,8,35,1
25,0,7,35,2
23,2,6,35,3
26,0,7,35,4
24,0,6,35,5
22,0,5,35,6
19,0,4,35,7
2,2,3,35,8
20,0,4,35,9
3,2,3,35,10
21,0,4,35,11
4,1,3,35,12
5,0,3,35,13
0,2,2,35,14
6,1,3,35,15
7,1,3,35,16
8,1,3,35,17
9,1,3,35,18
10,1,3,35,19
11,1,3,35,20
12,1,3,35,21
13,1,3,35,22
14,1,3,35,23
15,0,3,35,24
1,2,2,35,25
16,1,3,35,26
17,2,3,35,27
18,1,3,35,27
22,0,8,36,0
23,2,8,36,1
27,0,9,36,2
24,2,8,36,3
28,2,9,36,4
31,0,10,36,5
29,0,9,36,6
25,2,8,36,7
30,0,9,36,8
26,0,8,36,9
21,0,7,36,10
20,0,6,36,11
19,0,5,36,12
16,0,4,36,13
2,0,3,36,14
0,1,2,36,15
1,2,2,36,16
3,1,3,36,17
4,1,3,36,18
5,1,3,36,19
6,1,3,36,20
7,2,3,36,21
17,1,4,36,22
18,0,4,36,23
8,1,3,36,24
9,1,3,36,25
10,1,3,36,26
11,1,3,36,26
12,1,3,36,27
13,1,3,36,28
14,1,3,36,29
15,1,3,36,30
46,0,8,37,0
47,1,8,37,1
48,1,8,37,2
49,2,8,37,3
51,0,9,37,4
50,0,8,37,5
44,0,7,37,6
42,2,6,37,7
45,0,7,37,8
43,0,6,37,9
41,0,5,37,10
30,0,4,37,11
13,0,3,37,12
2,1,2,37,13
3,1,2,37,14
4,2,2,37,15
14,2,3,37,16
31,1,4,37,17
32,1,4,37,18
33,0,4,37,19
15,0,3,37,20
5,2,2,37,21
16,2,3,37,22
34,1,4,37,23
35,0,4,37,24
17,0,3,37,25
6,2,2,37,26
18,2,3,37,27
19,1,3,37,28
36,1,4,37,28
37,0,4,37,29
20,0,3,37,30
7,1,2,37,31
8,1,2,37,32
9,2,2,37,33
21,2,3,37,34
38,1,4,37,35
39,1,4,37,36
40,0,4,37,37
22,1,3,37,38
23,1,3,37,39
24,1,3,37,40
25,1,3,37,41
26,1,3,37,42
27,1,3,37,43
28,1,3,37,44
29,0,3,37,45
10,1,2,37,46
11,1,2,37,47
12,0,2,37,48
1,0,1,37,49
0,2,0,37,50
16,0,8,38,0
17,0,8,38,1
15,0,7,38,2
14,0,6,38,3
13,0,5,38,4
12,0,4,38,5
0,1,3,38,6
1,1,3,38,7
2,1,3,38,8
3,1,3,38,9
4,1,3,38,10
5,1,3,38,11
6,1,3,38,12
7,1,3,38,13
8,1,3,38,14
9,1,3,38,15
10,1,3,38,16
11,1,3,38,29
38,0,8,39,0
39,0,8,39,1
35,0,7,39,2
32,0,6,39,3
27,2,5,39,4
33,2,6,39,5
36,2,7,39,6
40,0,8,39,7
37,0,7,39,8
34,0,6,39,9
28,0,5,39,10
22,0,4,39,11
6,0,3,39,12
1,0,2,39,13
0,2,1,39,14
2,2,2,39,15
7,1,3,39,16
8,1,3,39,17
9,1,3,39,18
10,1,3,39,19
11,1,3,39,20
12,0,3,39,21
3,1,2,39,22
4,2,2,39,23
13,2,3,39,24
23,2,4,39,25
29,0,5,39,26
24,2,4,39,27
30,0,5,39,28
25,2,4,39,29
14,1,3,39,30
31,0,5,39,30
26,0,4,39,31
15,1,3,39,32
16,1,3,39,33
17,1,3,39,34
18,1,3,39,35
19,1,3,39,36
20,0,3,39,37
5,2,2,39,38
21,1,3,39,39
29,0,8,40,0
30,2,8,40,1
32,0,9,40,2
31,0,8,40,3
28,0,7,40,4
27,0,6,40,5
26,0,5,40,6
23,0,4,40,7
6,1,3,40,8
7,1,3,40,9
8,0,3,40,10
2,0,2,40,11
0,1,1,40,12
1,2,1,40,13
3,2,2,40,14
9,1,3,40,15
10,0,3,40,16
4,2,2,40,17
11,1,3,40,18
12,1,3,40,19
13,1,3,40,20
14,0,3,40,21
5,2,2,40,22
15,2,3,40,23
24,0,4,40,24
16,1,3,40,25
17,1,3,40,26
18,2,3,40,27
25,0,4,40,28
19,1,3,40,29
20,1,3,40,30
21,1,3,40,31
22,1,3,40,32
22,0,8,41,0
23,2,8,41,1
25,0,9,41,2
24,0,8,41,3
21,0,7,41,4
20,0,6,41,5
19,0,5,41,6
16,0,4,41,7
1,1,3,41,8
2,1,3,41,9
3,2,3,41,10
17,0,4,41,11
4,2,3,41,12
18,0,4,41,13
5,1,3,41,14
6,1,3,41,15
7,1,3,41,16
8,1,3,41,17
9,1,3,41,18
10,1,3,41,19
11,1,3,41,20
12,0,3,41,21
0,2,2,41,22
13,1,3,41,23
14,1,3,41,24
15,1,3,41,25
20,0,8,42,0
21,0,8,42,1
19,0,7,42,2
18,0,6,42,3
17,0,5,42,4
15,0,4,42,5
1,1,3,42,6
2,1,3,42,7
3,1,3,42,8
4,2,3,42,9
16,0,4,42,10
5,1,3,42,11
6,1,3,42,12
7,1,3,42,13
8,1,3,42,14
9,1,3,42,15
