,actions,states,trial,ts
1146,1,2,12,36
1147,2,2,12,37
1148,1,3,12,38
1149,0,3,12,39
1150,0,2,12,40
1151,2,1,12,41
1152,2,2,12,42
1153,1,3,12,43
1154,1,3,12,44
1155,1,3,12,45
1156,1,3,12,46
1157,2,3,12,47
1158,1,4,12,48
1159,0,4,12,49
1160,1,3,12,50
1161,1,3,12,51
1162,1,3,12,52
1163,1,3,12,53
1164,1,3,12,54
1165,1,3,12,55
1166,1,3,12,56
1167,1,3,12,57
1168,1,3,12,58
1169,0,3,12,59
1170,0,2,12,60
1171,2,1,12,61
1172,2,2,12,62
1173,0,3,12,63
1174,2,2,12,64
1175,0,3,12,65
1176,2,2,12,66
1177,1,3,12,67
1178,0,3,12,68
1179,2,2,12,69
1180,2,3,12,70
1181,0,4,12,71
1182,1,3,12,72
1183,1,3,12,73
1184,1,3,12,74
1185,1,3,12,75
1186,0,3,12,76
1187,2,2,12,77
1188,0,3,12,78
1189,2,2,12,79
1190,1,3,12,80
1191,1,3,12,81
1192,1,3,12,82
1193,1,3,12,83
1194,1,3,12,84
1195,1,3,12,85
1196,1,3,12,86
1197,1,3,12,87
1198,1,3,12,88
1199,1,3,12,89
1200,1,3,12,90
1201,1,3,12,91
1202,2,3,12,92
1203,0,4,12,93
1204,0,3,12,94
1205,1,2,12,95
1206,1,2,12,96
1207,0,2,12,97
1208,2,1,12,98
1209,1,2,12,99
1210,1,3,12,100
1211,0,8,13,0
1212,1,8,13,1
1213,2,8,13,2
1214,0,9,13,3
1215,0,8,13,4
1216,0,7,13,5
1217,1,6,13,6
1218,0,6,13,7
1219,0,5,13,8
1220,0,4,13,9
1221,1,3,13,10
1222,1,3,13,11
1223,0,3,13,12
1224,2,2,13,13
1225,0,3,13,14
1226,0,2,13,15
1227,0,1,13,16
1228,2,0,13,17
1229,2,1,13,18
1230,1,2,13,19
1231,2,2,13,20
1232,1,3,13,21
1233,1,3,13,22
1234,2,3,13,23
1235,0,4,13,24
1236,1,3,13,25
1237,1,3,13,26
1238,1,3,13,27
1239,1,3,13,28
1240,1,3,13,29
1241,1,3,13,30
1242,1,3,13,31
1243,0,3,13,32
1244,0,2,13,33
1245,2,1,13,34
1246,2,2,13,35
1247,1,3,13,36
1248,1,3,13,37
1249,1,3,13,38
1250,1,3,13,39
1251,1,3,13,40
1252,1,3,13,41
1253,1,3,13,42
1254,1,3,13,43
1255,0,3,13,44
1256,2,2,13,45
1257,2,3,13,46
1258,0,4,13,47
1259,1,3,13,48
1260,0,3,13,49
1261,2,2,13,50
1262,0,3,13,51
1263,2,2,13,52
1264,2,3,13,53
1265,2,4,13,54
1266,0,5,13,55
1267,0,4,13,56
1268,1,3,13,57
1269,1,3,13,58
1270,1,3,13,59
1271,2,3,13,60
1272,2,4,13,61
1273,0,5,13,62
1274,1,4,13,63
1275,0,4,13,64
1276,1,3,13,65
1277,2,3,13,66
1278,0,4,13,67
1279,0,3,13,68
1280,2,2,13,69
1281,1,3,13,70
1282,0,3,13,71
1283,2,2,13,72
1284,0,3,13,73
1285,2,2,13,74
1286,1,3,13,75
1287,0,3,13,76
1288,0,2,13,77
1289,2,1,13,78
1290,0,2,13,79
1291,1,1,13,80
1292,2,1,13,81
1293,0,2,13,82
1294,2,1,13,83
1295,2,2,13,84
1296,1,3,13,85
1297,0,3,13,86
1298,2,2,13,87
1299,1,3,13,88
1300,2,3,13,89
1301,0,4,13,90
1302,2,3,13,91
1303,0,4,13,92
1304,1,3,13,93
1305,1,3,13,94
1306,1,3,13,95
1307,1,3,13,96
1308,1,3,13,97
1309,0,3,13,98
1310,1,2,13,99
1311,2,2,13,100
1312,0,8,14,0
1313,0,8,14,1
1314,0,7,14,2
1315,0,6,14,3
1316,0,5,14,4
1317,0,4,14,5
1318,1,3,14,6
1319,1,3,14,7
1320,0,3,14,8
1321,2,2,14,9
1322,0,3,14,10
1323,0,2,14,11
1324,1,1,14,12
1325,2,1,14,13
1326,2,2,14,14
1327,0,3,14,15
1328,0,2,14,16
1329,2,1,14,17
1330,1,2,14,18
1331,2,2,14,19
1332,1,3,14,20
1333,1,3,14,21
1334,1,3,14,22
1335,1,3,14,23
1336,1,3,14,24
1337,1,3,14,25
1338,1,3,14,26
1339,1,3,14,27
1340,0,3,14,28
1341,2,2,14,29
1342,1,3,14,30
1343,2,3,14,31
1344,0,4,14,32
1345,1,3,14,33
1346,2,3,14,34
1347,0,4,14,35
1348,1,3,14,36
1349,2,3,14,37
1350,0,4,14,38
1351,1,3,14,39
1352,1,3,14,40
