,actions,states,trial,ts
1074,1,2,11,65
1075,2,2,11,66
1076,1,3,11,67
1077,1,3,11,68
1078,2,3,11,69
1079,0,4,11,70
1080,1,3,11,71
1081,1,3,11,72
1082,0,3,11,73
1083,2,2,11,74
1084,2,3,11,75
1085,0,4,11,76
1086,1,3,11,77
1087,1,3,11,78
1088,1,3,11,79
1089,1,3,11,80
1090,0,3,11,81
1091,2,2,11,82
1092,1,3,11,83
1093,1,3,11,84
1094,2,3,11,85
1095,1,4,11,86
1096,2,4,11,87
1097,2,5,11,88
1098,0,6,11,89
1099,0,5,11,90
1100,0,4,11,91
1101,1,3,11,92
1102,1,3,11,93
1103,1,3,11,94
1104,2,3,11,95
1105,0,4,11,96
1106,1,3,11,97
1107,2,3,11,98
1108,0,4,11,99
1109,1,3,11,100
1110,0,8,12,0
1111,1,8,12,1
1112,1,8,12,2
1113,0,8,12,3
1114,0,7,12,4
1115,2,6,12,5
1116,0,7,12,6
1117,0,6,12,7
1118,2,5,12,8
1119,1,6,12,9
1120,0,6,12,10
1121,0,5,12,11
1122,0,4,12,12
1123,1,3,12,13
1124,1,3,12,14
1125,1,3,12,15
1126,1,3,12,16
1127,0,3,12,17
1128,0,2,12,18
1129,2,1,12,19
1130,2,2,12,20
1131,2,3,12,21
1132,0,4,12,22
1133,2,3,12,23
1134,0,4,12,24
1135,2,3,12,25
1136,1,4,12,26
1137,0,4,12,27
1138,1,3,12,28
1139,0,3,12,29
1140,0,2,12,30
1141,2,1,12,31
1142,1,2,12,32
1143,0,2,12,33
1144,2,1,12,34
1145,2,2,12,35
1146,1,3,12,36
1147,2,3,12,37
1148,0,4,12,38
1149,2,3,12,39
1150,2,4,12,40
1151,0,5,12,41
1152,0,4,12,42
1153,1,3,12,43
1154,0,3,12,44
1155,2,2,12,45
1156,1,3,12,46
1157,2,3,12,47
1158,1,4,12,48
1159,0,4,12,49
1160,2,3,12,50
1161,0,4,12,51
1162,0,3,12,52
1163,0,2,12,53
1164,2,1,12,54
1165,2,2,12,55
1166,1,3,12,56
1167,1,3,12,57
1168,2,3,12,58
1169,0,4,12,59
1170,1,3,12,60
1171,0,3,12,61
1172,0,2,12,62
1173,0,1,12,63
1174,2,0,12,64
1175,2,1,12,65
1176,2,2,12,66
1177,1,3,12,67
1178,1,3,12,68
1179,1,3,12,69
1180,1,3,12,70
1181,1,3,12,71
1182,1,3,12,72
1183,2,3,12,73
1184,0,4,12,74
1185,1,3,12,75
1186,2,3,12,76
1187,0,4,12,77
1188,1,3,12,78
1189,1,3,12,79
1190,0,3,12,80
1191,2,2,12,81
1192,0,3,12,82
1193,2,2,12,83
1194,1,3,12,84
1195,2,3,12,85
1196,0,4,12,86
1197,1,3,12,87
1198,1,3,12,88
1199,2,3,12,89
1200,0,4,12,90
1201,0,3,12,91
1202,2,2,12,92
1203,0,3,12,93
1204,2,2,12,94
1205,1,3,12,95
1206,1,3,12,96
1207,2,3,12,97
1208,0,4,12,98
1209,0,3,12,99
1210,1,3,12,100
